Sensor Name,Variable,Units,Timestamp,Value,Flagged as Suspect Reading,Aggregated Method,Number of records,Location (WKT),Ground Height Above Sea Level,Sensor Height Above Ground,Broker Name,Third Party,Sensor Centroid Longitude,Sensor Centroid Latitude,Raw ID
PER_AIRMON_MESH1957150,PM10,ugm -3,2023-04-26 18:30:00,5.516,False,Median,7,POINT (-1.558716 54.996502),39.0400009155273,2.0,aq_mesh_api,False,-1.558716,54.996502,79194
PER_AIRMON_MESH1970150,PM10,ugm -3,2023-04-26 18:30:00,5.169,False,Median,7,POINT (-1.576209 54.984303),42.3499984741211,2.0,aq_mesh_api,False,-1.576209,54.984303,79206
PER_AIRMON_MESH1969150,PM10,ugm -3,2023-04-26 18:30:00,7.66,False,Median,7,POINT (-1.593537 55.039309),64.4400024414062,2.0,aq_mesh_api,False,-1.593537,55.039309,79205
PER_AIRMON_MESH1760150,PM10,ugm -3,2023-04-26 18:30:00,5.12,False,Median,7,POINT (-1.610701 54.972275),37.7700004577637,2.0,aq_mesh_api,False,-1.610701,54.972275,73089
PER_AIRMON_MESH1903150,PM10,ugm -3,2023-04-26 18:30:00,0.0,True,Median,6,POINT (-1.521943 55.029411),68.9899978637695,2.0,aq_mesh_api,False,-1.521943,55.029411,73384
PER_AIRMON_MESH1904150,PM10,ugm -3,2023-04-26 18:30:00,8.291,False,Median,7,POINT (-1.588286 54.998517),67.75,2.0,aq_mesh_api,False,-1.588286,54.998517,73385
PER_AIRMON_MESH1907150,PM10,ugm -3,2023-04-26 18:30:00,1.37,False,Median,7,POINT (-1.603448 54.965679),31.1700000762939,2.0,aq_mesh_api,False,-1.603448,54.965679,79150
PER_AIRMON_MESH1909150,PM10,ugm -3,2023-04-26 18:30:00,8.975,False,Median,7,POINT (-1.603448 54.965685),31.1700000762939,2.0,aq_mesh_api,False,-1.603448,54.965685,79152
PER_AIRMON_MESH1910150,PM10,ugm -3,2023-04-26 18:30:00,6.296,False,Median,7,POINT (-1.618791 55.018165),50.6599998474121,2.0,aq_mesh_api,False,-1.618791,55.018165,79153
PER_AIRMON_MESH1911150,PM10,ugm -3,2023-04-26 18:30:00,8.799,False,Median,7,POINT (-1.577888 54.98891),48.4099998474121,2.0,aq_mesh_api,False,-1.577888,54.98891,79154
PER_AIRMON_MESH1913150,PM10,ugm -3,2023-04-26 18:30:00,1.79,False,Median,7,POINT (-1.704298 55.000748),115.569999694824,2.0,aq_mesh_api,False,-1.704298,55.000748,79156
PER_AIRMON_MESH1914150,PM10,ugm -3,2023-04-26 18:30:00,10.249,False,Median,7,POINT (-1.65862 54.983255),113.98999786377,2.0,aq_mesh_api,False,-1.65862,54.983255,79157
PER_AIRMON_MESH1915150,PM10,ugm -3,2023-04-26 18:30:00,0.0,True,Median,2,POINT (-1.718833 54.995352),107.669998168945,2.0,aq_mesh_api,False,-1.718833,54.995352,79158
PER_AIRMON_MESH1916150,PM10,ugm -3,2023-04-26 18:30:00,5.886,False,Median,7,POINT (-1.590481 55.007634),59.810001373291,2.0,aq_mesh_api,False,-1.590481,55.007634,79159
PER_AIRMON_MESH1917150,PM10,ugm -3,2023-04-26 18:30:00,3.42,False,Median,7,POINT (-1.558721 54.996494),39.0400009155273,2.0,aq_mesh_api,False,-1.558721,54.996494,79160
PER_AIRMON_MESH1919150,PM10,ugm -3,2023-04-26 18:30:00,0.0,True,Median,1,POINT (-1.558716 54.996502),39.0400009155273,2.0,aq_mesh_api,False,-1.558716,54.996502,79162
PER_AIRMON_MESH1921150,PM10,ugm -3,2023-04-26 18:30:00,2.27,False,Median,7,POINT (-1.60345 54.965674),31.1700000762939,2.0,aq_mesh_api,False,-1.60345,54.965674,79164
PER_AIRMON_MESH1922150,PM10,ugm -3,2023-04-26 18:30:00,7.371,False,Median,7,POINT (-1.609327 54.991308),56.8699989318848,2.0,aq_mesh_api,False,-1.609327,54.991308,79165
PER_AIRMON_MESH1964150,PM10,ugm -3,2023-04-26 18:30:00,2.19,False,Median,7,POINT (-1.45333 55.022829),43.8699989318848,2.0,aq_mesh_api,False,-1.45333,55.022829,79200
PER_AIRMON_MESH1966150,PM10,ugm -3,2023-04-26 18:30:00,3.32,False,Median,7,POINT (-1.690413 54.957331),3.80999994277954,2.0,aq_mesh_api,False,-1.690413,54.957331,79202
PER_AIRMON_MESH1759150,PM10,ugm -3,2023-04-26 18:30:00,0.29,False,Median,7,POINT (-1.613355 54.977854),47.7799987792969,2.0,aq_mesh_api,False,-1.613355,54.977854,73088
PER_AIRMON_MESH1971150,PM10,ugm -3,2023-04-26 18:30:00,9.494,False,Median,7,POINT (-1.583808 54.991155),45.5499992370605,2.0,aq_mesh_api,False,-1.583808,54.991155,79207
PER_AIRMON_MESH1761150,PM10,ugm -3,2023-04-26 18:30:00,2.36,False,Median,7,POINT (-1.61169 54.97431),43.6699981689453,2.0,aq_mesh_api,False,-1.61169,54.97431,73090
