Sensor Name,Variable,Units,Timestamp,Value,Flagged as Suspect Reading,Aggregated Method,Number of records,Location (WKT),Ground Height Above Sea Level,Sensor Height Above Ground,Broker Name,Third Party,Sensor Centroid Longitude,Sensor Centroid Latitude,Raw ID
PER_AIRMON_MESH1972150,PM2.5,ugm -3,2023-05-09 17:00:00,1.065,False,Median,2,POINT (-1.617121 54.974193),47.2900009155273,2.0,aq_mesh_api,False,-1.617121,54.974193,79208
PER_AIRMON_MESH1974150,PM2.5,ugm -3,2023-05-09 17:00:00,2.8025,False,Median,2,POINT (-1.566521 55.011258),64.8199996948242,2.0,aq_mesh_api,False,-1.566521,55.011258,79210
PER_AIRMON_MESH1977150,PM2.5,ugm -3,2023-05-09 17:00:00,8.695,False,Median,2,POINT (-1.468363 55.015287),58.0,2.0,aq_mesh_api,False,-1.468363,55.015287,79214
PER_AIRMON_MESH1957150,PM2.5,ugm -3,2023-05-09 17:00:00,1.662,False,Median,2,POINT (-1.558716 54.996502),39.0400009155273,2.0,aq_mesh_api,False,-1.558716,54.996502,79194
PER_AIRMON_MESH1921150,PM2.5,ugm -3,2023-05-09 17:00:00,0.985,False,Median,2,POINT (-1.60345 54.965674),31.1700000762939,2.0,aq_mesh_api,False,-1.60345,54.965674,79164
PER_AIRMON_MESH1903150,PM2.5,ugm -3,2023-05-09 17:00:00,0.005,False,Median,2,POINT (-1.521943 55.029411),68.9899978637695,2.0,aq_mesh_api,False,-1.521943,55.029411,73384
PER_AIRMON_MESH1971150,PM2.5,ugm -3,2023-05-09 17:00:00,3.7095,False,Median,2,POINT (-1.583808 54.991155),45.5499992370605,2.0,aq_mesh_api,False,-1.583808,54.991155,79207
PER_AIRMON_MESH1914150,PM2.5,ugm -3,2023-05-09 17:00:00,280.884,False,Median,2,POINT (-1.65862 54.983255),113.98999786377,2.0,aq_mesh_api,False,-1.65862,54.983255,79157
PER_AIRMON_MESH1904150,PM2.5,ugm -3,2023-05-09 17:00:00,3.164,False,Median,2,POINT (-1.588286 54.998517),67.75,2.0,aq_mesh_api,False,-1.588286,54.998517,73385
PER_AIRMON_MESH1922150,PM2.5,ugm -3,2023-05-09 17:00:00,2.638,False,Median,2,POINT (-1.609327 54.991308),56.8699989318848,2.0,aq_mesh_api,False,-1.609327,54.991308,79165
PER_AIRMON_MESH1760150,PM2.5,ugm -3,2023-05-09 17:00:00,19.234,False,Median,2,POINT (-1.610701 54.972275),37.7700004577637,2.0,aq_mesh_api,False,-1.610701,54.972275,73089
