Sensor Name,Variable,Units,Timestamp,Value,Flagged as Suspect Reading,Aggregated Method,Number of records,Location (WKT),Ground Height Above Sea Level,Sensor Height Above Ground,Broker Name,Third Party,Sensor Centroid Longitude,Sensor Centroid Latitude,Raw ID
PER_AIRMON_MESH1910150,PM10,ugm -3,2023-05-14 15:00:00,5.94,False,Median,9,POINT (-1.618791 55.018165),50.6599998474121,2.0,aq_mesh_api,False,-1.618791,55.018165,79153
PER_AIRMON_MESH1914150,PM10,ugm -3,2023-05-14 15:00:00,7.09,False,Median,9,POINT (-1.65862 54.983255),113.98999786377,2.0,aq_mesh_api,False,-1.65862,54.983255,79157
PER_AIRMON_MESH1917150,PM10,ugm -3,2023-05-14 15:00:00,1.87,False,Median,9,POINT (-1.558721 54.996494),39.0400009155273,2.0,aq_mesh_api,False,-1.558721,54.996494,79160
PER_AIRMON_MESH1957150,PM10,ugm -3,2023-05-14 15:00:00,4.35,False,Median,9,POINT (-1.558716 54.996502),39.0400009155273,2.0,aq_mesh_api,False,-1.558716,54.996502,79194
PER_AIRMON_MESH1916150,PM10,ugm -3,2023-05-14 15:00:00,5.329,False,Median,9,POINT (-1.590481 55.007634),59.810001373291,2.0,aq_mesh_api,False,-1.590481,55.007634,79159
PER_AIRMON_MESH1907150,PM10,ugm -3,2023-05-14 15:00:00,0.89,False,Median,9,POINT (-1.603448 54.965679),31.1700000762939,2.0,aq_mesh_api,False,-1.603448,54.965679,79150
PER_AIRMON_MESH1903150,PM10,ugm -3,2023-05-14 15:00:00,0.0,True,Median,5,POINT (-1.521943 55.029411),68.9899978637695,2.0,aq_mesh_api,False,-1.521943,55.029411,73384
PER_AIRMON_MESH1911150,PM10,ugm -3,2023-05-14 15:00:00,7.354,False,Median,9,POINT (-1.577888 54.98891),48.4099998474121,2.0,aq_mesh_api,False,-1.577888,54.98891,79154
PER_AIRMON_MESH1913150,PM10,ugm -3,2023-05-14 15:00:00,1.13,False,Median,9,POINT (-1.704298 55.000748),115.569999694824,2.0,aq_mesh_api,False,-1.704298,55.000748,79156
PER_AIRMON_MESH1915150,PM10,ugm -3,2023-05-14 15:00:00,0.005,True,Median,2,POINT (-1.718833 54.995352),107.669998168945,2.0,aq_mesh_api,False,-1.718833,54.995352,79158
